structure, operation, time(ns)
avl, delete, 17292476
splay, put, 667546
splay, delete, 770272
veb, put, 5264665
veb, delete, 23084
bst, put, 251296
bst, delete, 212817
avl, put, 38860876
avl, delete, 14492546
splay, put, 679834
splay, delete, 776875
veb, put, 5313421
veb, delete, 18144
bst, put, 250298
bst, delete, 164321
avl, put, 37189304
avl, delete, 13525224
splay, put, 627577
splay, delete, 765837
veb, put, 5351932
veb, delete, 19084
bst, put, 319820
bst, delete, 194243
avl, put, 41214150
avl, delete, 12891203
splay, put, 693067
splay, delete, 779491
veb, put, 5415143
veb, delete, 17592
bst, put, 268514
bst, delete, 168704
avl, put, 39724360
avl, delete, 14153749
splay, put, 695389
splay, delete, 872162
veb, put, 5501758
veb, delete, 30602
bst, put, 263719
bst, delete, 258654
avl, put, 38456511
avl, delete, 15383334
splay, put, 687858
splay, delete, 858125
veb, put, 5260746
veb, delete, 16071
bst, put, 252075
bst, delete, 307851
avl, put, 38721233
avl, delete, 15235809
splay, put, 637993
splay, delete, 770382
veb, put, 5259275
veb, delete, 16254
bst, put, 258119
bst, delete, 110609
avl, put, 37491706
avl, delete, 12762640
splay, put, 621622
splay, delete, 767504
veb, put, 5352681
veb, delete, 25500
bst, put, 308608
bst, delete, 237164
avl, put, 41312108
avl, delete, 13028384
splay, put, 757026
splay, delete, 907844
veb, put, 6068499
veb, delete, 36150
bst, put, 302939
bst, delete, 253322
avl, put, 43555693
avl, delete, 18629601
splay, put, 752084
splay, delete, 912910
veb, put, 6110088
veb, delete, 23227
bst, put, 323781
bst, delete, 159887
avl, put, 42845678
avl, delete, 16615088
splay, put, 746898
splay, delete, 917290
veb, put, 6043976
veb, delete, 35699
bst, put, 307105
bst, delete, 192700
avl, put, 43208153
avl, delete, 18194398
splay, put, 741430
splay, delete, 907197
veb, put, 6052677
veb, delete, 19533
bst, put, 343041
bst, delete, 189186
avl, put, 42895263
avl, delete, 12050202
splay, put, 761355
splay, delete, 946306
veb, put, 6049428
veb, delete, 29166
bst, put, 293276
bst, delete, 237329
avl, put, 41875135
avl, delete, 11061408
splay, put, 635982
splay, delete, 867698
veb, put, 5356110
veb, delete, 36210
bst, put, 257228
bst, delete, 172239
avl, put, 37905660
avl, delete, 12014278
splay, put, 682913
splay, delete, 908644
veb, put, 5836222
veb, delete, 27074
bst, put, 387639
bst, delete, 255923
avl, put, 41956015
avl, delete, 15253348
splay, put, 725457
splay, delete, 848734
veb, put, 5622687
veb, delete, 27874
bst, put, 311151
bst, delete, 66576
avl, put, 39583339
avl, delete, 16064235
splay, put, 706805
splay, delete, 870260
veb, put, 5824064
veb, delete, 19729
bst, put, 297428
bst, delete, 205320
avl, put, 39548135
avl, delete, 13145998
splay, put, 740031
splay, delete, 806301
veb, put, 5444404
veb, delete, 25675
bst, put, 311475
bst, delete, 172623
avl, put, 38325216
avl, delete, 12274308
splay, put, 744942
splay, delete, 800899
veb, put, 5431528
veb, delete, 15579
bst, put, 255961
bst, delete, 117451
avl, put, 38933576
avl, delete, 17634175
splay, put, 757345
splay, delete, 924100
veb, put, 5701455
veb, delete, 19327
bst, put, 247252
bst, delete, 214764
avl, put, 40139745
avl, delete, 13252345
splay, put, 741072
splay, delete, 830517
veb, put, 5252070
veb, delete, 21364
bst, put, 258734
bst, delete, 207180
avl, put, 39684764
avl, delete, 17244371
splay, put, 632296
splay, delete, 789149
veb, put, 5437409
veb, delete, 19417
bst, put, 309251
bst, delete, 272252
avl, put, 38045370
avl, delete, 12534867
splay, put, 676109
splay, delete, 797480
veb, put, 5386577
veb, delete, 16007
bst, put, 260148
bst, delete, 173443
avl, put, 37352208
avl, delete, 17773508
splay, put, 708798
splay, delete, 851502
veb, put, 5334279
veb, delete, 25805
bst, put, 278467
bst, delete, 170379
avl, put, 39103002
avl, delete, 13965474
splay, put, 624826
splay, delete, 774603
veb, put, 8193778
veb, delete, 27933
bst, put, 300935
bst, delete, 140803
avl, put, 39441142
