structure, size, time(ns)
veb, 2^9, 1858259
bst, 2^6, 56554
bst, 2^7, 65723
bst, 2^8, 76258
bst, 2^9, 86764
avl, 2^6, 51777
avl, 2^7, 58226
avl, 2^8, 67495
avl, 2^9, 91599
splay, 2^6, 294671
splay, 2^7, 348211
splay, 2^8, 331056
splay, 2^9, 353461
veb, 2^6, 1626360
veb, 2^7, 1673515
veb, 2^8, 1589288
veb, 2^9, 1856106
bst, 2^6, 56434
bst, 2^7, 65533
bst, 2^8, 76233
bst, 2^9, 90929
avl, 2^6, 51632
avl, 2^7, 58692
avl, 2^8, 66259
avl, 2^9, 78719
splay, 2^6, 251416
splay, 2^7, 360555
splay, 2^8, 391357
splay, 2^9, 355788
veb, 2^6, 1444832
veb, 2^7, 1509513
veb, 2^8, 1702710
veb, 2^9, 1819328
bst, 2^6, 66909
bst, 2^7, 78738
bst, 2^8, 90314
bst, 2^9, 106278
avl, 2^6, 50553
avl, 2^7, 58238
avl, 2^8, 66892
avl, 2^9, 77527
splay, 2^6, 247250
splay, 2^7, 290933
splay, 2^8, 345372
splay, 2^9, 410906
veb, 2^6, 1483922
veb, 2^7, 1497633
veb, 2^8, 1757334
veb, 2^9, 1705881
bst, 2^6, 56553
bst, 2^7, 65880
bst, 2^8, 76393
bst, 2^9, 103990
avl, 2^6, 60158
avl, 2^7, 69181
avl, 2^8, 66854
avl, 2^9, 77488
splay, 2^6, 244888
splay, 2^7, 287540
splay, 2^8, 333789
splay, 2^9, 350024
veb, 2^6, 1646305
veb, 2^7, 1505720
veb, 2^8, 1590173
veb, 2^9, 1818526
bst, 2^6, 66890
bst, 2^7, 77584
bst, 2^8, 84356
bst, 2^9, 87562
avl, 2^6, 51538
avl, 2^7, 60398
avl, 2^8, 79646
avl, 2^9, 77014
splay, 2^6, 247746
splay, 2^7, 290668
splay, 2^8, 331412
splay, 2^9, 351540
veb, 2^6, 1594482
veb, 2^7, 1612965
veb, 2^8, 1768700
veb, 2^9, 1696746
bst, 2^6, 55804
bst, 2^7, 63374
bst, 2^8, 74958
bst, 2^9, 85229
avl, 2^6, 58236
avl, 2^7, 59026
avl, 2^8, 81061
avl, 2^9, 77377
splay, 2^6, 247335
splay, 2^7, 297389
splay, 2^8, 361858
splay, 2^9, 413825
veb, 2^6, 1571746
veb, 2^7, 1672122
veb, 2^8, 1733510
veb, 2^9, 1794030
bst, 2^6, 56716
bst, 2^7, 64819
bst, 2^8, 75478
bst, 2^9, 86025
avl, 2^6, 54266
avl, 2^7, 59082
avl, 2^8, 66953
avl, 2^9, 95694
splay, 2^6, 267299
splay, 2^7, 291978
splay, 2^8, 334181
splay, 2^9, 351570
veb, 2^6, 1587604
veb, 2^7, 1606763
veb, 2^8, 1699939
veb, 2^9, 1864093
bst, 2^6, 56577
bst, 2^7, 65700
bst, 2^8, 76268
bst, 2^9, 86932
avl, 2^6, 52961
avl, 2^7, 70807
avl, 2^8, 79510
avl, 2^9, 78266
splay, 2^6, 280962
splay, 2^7, 350124
splay, 2^8, 397441
splay, 2^9, 351118
