structure, size, time(ns)
splay, 2^10, 10716
splay, 2^11, 10705
veb, 2^8, 1506657
veb, 2^9, 1410236
veb, 2^10, 1404683
veb, 2^11, 1664830
bst, 2^8, 24507
bst, 2^9, 23597
bst, 2^10, 24670
bst, 2^11, 23516
avl, 2^8, 24213
avl, 2^9, 27315
avl, 2^10, 29630
avl, 2^11, 34890
splay, 2^8, 12646
splay, 2^9, 10710
splay, 2^10, 10848
splay, 2^11, 12631
veb, 2^8, 1413605
veb, 2^9, 1590841
veb, 2^10, 1551040
veb, 2^11, 1404566
bst, 2^8, 20234
bst, 2^9, 22630
bst, 2^10, 19897
bst, 2^11, 19872
avl, 2^8, 25143
avl, 2^9, 22802
avl, 2^10, 25864
avl, 2^11, 32881
splay, 2^8, 12945
splay, 2^9, 13524
splay, 2^10, 11222
splay, 2^11, 10947
veb, 2^8, 1603307
veb, 2^9, 1574237
veb, 2^10, 1407887
veb, 2^11, 1523504
bst, 2^8, 23972
bst, 2^9, 23590
bst, 2^10, 20155
bst, 2^11, 19863
avl, 2^8, 23278
avl, 2^9, 25454
avl, 2^10, 27267
avl, 2^11, 29322
splay, 2^8, 10829
splay, 2^9, 13096
splay, 2^10, 12954
splay, 2^11, 10861
veb, 2^8, 1560408
veb, 2^9, 1562432
veb, 2^10, 1651469
veb, 2^11, 1407156
bst, 2^8, 19887
bst, 2^9, 19356
bst, 2^10, 19563
bst, 2^11, 19390
avl, 2^8, 19918
avl, 2^9, 32372
avl, 2^10, 30499
avl, 2^11, 28555
splay, 2^8, 10835
splay, 2^9, 10797
splay, 2^10, 11013
splay, 2^11, 11183
veb, 2^8, 1411025
veb, 2^9, 1407092
veb, 2^10, 1436049
veb, 2^11, 1697321
bst, 2^8, 23767
bst, 2^9, 23005
bst, 2^10, 22954
bst, 2^11, 23676
avl, 2^8, 23650
avl, 2^9, 25512
avl, 2^10, 30166
avl, 2^11, 26149
splay, 2^8, 10909
splay, 2^9, 11496
splay, 2^10, 13337
splay, 2^11, 12965
veb, 2^8, 1557498
veb, 2^9, 1665657
veb, 2^10, 1558892
veb, 2^11, 1724244
bst, 2^8, 24260
bst, 2^9, 23703
bst, 2^10, 23575
bst, 2^11, 23593
avl, 2^8, 23661
avl, 2^9, 34079
avl, 2^10, 29918
avl, 2^11, 31191
splay, 2^8, 12982
splay, 2^9, 12973
splay, 2^10, 13255
splay, 2^11, 12743
veb, 2^8, 1457309
veb, 2^9, 1614138
veb, 2^10, 1530904
veb, 2^11, 1574322
bst, 2^8, 22393
bst, 2^9, 23598
bst, 2^10, 23225
bst, 2^11, 23132
avl, 2^8, 23641
avl, 2^9, 24938
avl, 2^10, 25235
avl, 2^11, 32946
splay, 2^8, 15745
splay, 2^9, 12839
splay, 2^10, 12837
splay, 2^11, 11002
veb, 2^8, 1581932
veb, 2^9, 1552380
veb, 2^10, 1511591
veb, 2^11, 1416543
bst, 2^8, 19865
bst, 2^9, 19587
bst, 2^10, 23317
bst, 2^11, 23021
avl, 2^8, 28410
avl, 2^9, 25173
avl, 2^10, 30051
avl, 2^11, 27607
splay, 2^8, 11009
splay, 2^9, 12850
splay, 2^10, 13114
splay, 2^11, 11187
veb, 2^8, 1539711
veb, 2^9, 1514824
veb, 2^10, 1664734
veb, 2^11, 1671741
bst, 2^8, 24081
bst, 2^9, 23224
