structure, size, time(ns)
bst, 2^8, 35734
bst, 2^9, 40381
avl, 2^6, 26400
avl, 2^7, 36584
avl, 2^8, 40937
avl, 2^9, 39465
splay, 2^6, 128118
splay, 2^7, 144283
splay, 2^8, 159221
splay, 2^9, 165224
veb, 2^6, 813782
veb, 2^7, 747490
veb, 2^8, 920899
veb, 2^9, 805856
bst, 2^6, 32849
bst, 2^7, 37336
bst, 2^8, 42499
bst, 2^9, 48121
avl, 2^6, 30847
avl, 2^7, 36528
avl, 2^8, 34196
avl, 2^9, 45806
splay, 2^6, 153427
splay, 2^7, 173854
splay, 2^8, 191526
splay, 2^9, 139399
veb, 2^6, 718990
veb, 2^7, 900824
veb, 2^8, 877792
veb, 2^9, 855055
bst, 2^6, 26981
bst, 2^7, 31667
bst, 2^8, 37166
bst, 2^9, 39804
avl, 2^6, 26301
avl, 2^7, 43315
avl, 2^8, 40735
avl, 2^9, 38401
splay, 2^6, 126162
splay, 2^7, 145124
splay, 2^8, 158980
splay, 2^9, 138804
veb, 2^6, 722576
veb, 2^7, 886693
veb, 2^8, 877565
veb, 2^9, 788258
bst, 2^6, 31752
bst, 2^7, 37648
bst, 2^8, 42465
bst, 2^9, 48366
avl, 2^6, 30904
avl, 2^7, 36990
avl, 2^8, 34429
avl, 2^9, 38786
splay, 2^6, 126874
splay, 2^7, 145275
splay, 2^8, 160686
splay, 2^9, 139743
veb, 2^6, 764777
veb, 2^7, 872644
veb, 2^8, 780484
veb, 2^9, 868501
bst, 2^6, 39492
bst, 2^7, 37519
bst, 2^8, 42604
bst, 2^9, 47152
avl, 2^6, 25865
avl, 2^7, 31296
avl, 2^8, 34719
avl, 2^9, 38483
splay, 2^6, 132483
splay, 2^7, 144980
splay, 2^8, 160424
splay, 2^9, 139591
veb, 2^6, 815876
veb, 2^7, 766146
veb, 2^8, 779458
veb, 2^9, 837209
bst, 2^6, 29098
bst, 2^7, 39616
bst, 2^8, 36391
bst, 2^9, 41029
avl, 2^6, 26162
avl, 2^7, 30429
avl, 2^8, 33657
avl, 2^9, 38158
splay, 2^6, 127777
splay, 2^7, 144910
splay, 2^8, 160500
splay, 2^9, 166202
veb, 2^6, 856326
veb, 2^7, 783475
veb, 2^8, 780027
veb, 2^9, 832393
bst, 2^6, 28065
bst, 2^7, 32181
bst, 2^8, 36516
bst, 2^9, 41441
avl, 2^6, 26608
avl, 2^7, 29934
avl, 2^8, 33847
avl, 2^9, 37724
splay, 2^6, 139549
splay, 2^7, 175185
splay, 2^8, 189292
splay, 2^9, 164606
veb, 2^6, 894438
veb, 2^7, 775667
veb, 2^8, 779143
veb, 2^9, 775687
bst, 2^6, 28595
bst, 2^7, 32699
bst, 2^8, 36512
bst, 2^9, 40486
avl, 2^6, 26436
avl, 2^7, 31252
avl, 2^8, 34303
avl, 2^9, 38627
splay, 2^6, 159571
splay, 2^7, 173325
splay, 2^8, 187450
splay, 2^9, 167433
veb, 2^6, 719350
veb, 2^7, 748439
veb, 2^8, 782163
veb, 2^9, 913206
bst, 2^6, 33552
bst, 2^7, 38338
bst, 2^8, 43282
bst, 2^9, 48306
avl, 2^6, 31046
avl, 2^7, 36358
avl, 2^8, 34643
avl, 2^9, 45565
splay, 2^6, 165588
splay, 2^7, 159893
splay, 2^8, 158253
splay, 2^9, 139069
veb, 2^6, 719014
veb, 2^7, 748328
veb, 2^8, 821131
veb, 2^9, 770395
bst, 2^6, 28850
bst, 2^7, 31616
bst, 2^8, 36039
bst, 2^9, 52819
avl, 2^6, 31119
avl, 2^7, 36443
avl, 2^8, 41010
avl, 2^9, 45675
splay, 2^6, 155710
splay, 2^7, 180820
splay, 2^8, 195403
splay, 2^9, 171895
veb, 2^6, 719228
veb, 2^7, 884838
veb, 2^8, 783425
veb, 2^9, 770612
bst, 2^6, 26809
bst, 2^7, 33785
bst, 2^8, 42438
bst, 2^9, 48335
avl, 2^6, 30924
avl, 2^7, 37193
avl, 2^8, 34533
avl, 2^9, 38483
splay, 2^6, 125375
splay, 2^7, 146317
splay, 2^8, 159599
splay, 2^9, 139642
veb, 2^6, 719126
veb, 2^7, 887683
veb, 2^8, 779944
veb, 2^9, 812050
bst, 2^6, 32034
bst, 2^7, 37100
bst, 2^8, 41492
bst, 2^9, 48180
avl, 2^6, 30894
avl, 2^7, 30918
avl, 2^8, 34233
avl, 2^9, 39194
splay, 2^6, 126815
splay, 2^7, 166366
splay, 2^8, 189117
splay, 2^9, 165054
veb, 2^6, 764612
veb, 2^7, 791663
veb, 2^8, 780324
veb, 2^9, 912910
bst, 2^6, 27195
bst, 2^7, 31384
bst, 2^8, 35751
bst, 2^9, 40713
avl, 2^6, 26138
avl, 2^7, 31097
avl, 2^8, 41222
avl, 2^9, 38216
splay, 2^6, 141263
splay, 2^7, 173553
splay, 2^8, 190275
splay, 2^9, 165900
veb, 2^6, 857583
veb, 2^7, 748806
veb, 2^8, 931701
veb, 2^9, 789384
bst, 2^6, 27570
bst, 2^7, 31967
bst, 2^8, 35793
bst, 2^9, 41087
avl, 2^6, 26384
avl, 2^7, 40650
avl, 2^8, 34415
avl, 2^9, 38585
splay, 2^6, 133172
splay, 2^7, 167752
splay, 2^8, 187285
splay, 2^9, 165338
veb, 2^6, 720848
veb, 2^7, 748104
veb, 2^8, 853387
veb, 2^9, 771155
bst, 2^6, 26946
bst, 2^7, 31903
bst, 2^8, 36448
bst, 2^9, 40544
avl, 2^6, 26331
avl, 2^7, 30677
avl, 2^8, 41275
avl, 2^9, 45653
splay, 2^6, 152250
splay, 2^7, 159694
splay, 2^8, 158696
splay, 2^9, 139040
veb, 2^6, 834325
veb, 2^7, 775605
veb, 2^8, 919997
veb, 2^9, 770501
bst, 2^6, 27050
bst, 2^7, 31450
bst, 2^8, 36235
bst, 2^9, 39539
avl, 2^6, 26083
avl, 2^7, 30992
avl, 2^8, 34079
avl, 2^9, 45598
splay, 2^6, 152240
splay, 2^7, 169092
splay, 2^8, 187045
splay, 2^9, 163541
veb, 2^6, 719203
veb, 2^7, 863079
veb, 2^8, 899221
veb, 2^9, 770515
bst, 2^6, 27200
bst, 2^7, 31844
bst, 2^8, 35898
bst, 2^9, 39890
avl, 2^6, 26161
avl, 2^7, 30929
avl, 2^8, 34329
avl, 2^9, 39059
splay, 2^6, 127778
splay, 2^7, 144955
splay, 2^8, 158470
splay, 2^9, 140814
veb, 2^6, 727164
veb, 2^7, 887515
veb, 2^8, 944745
veb, 2^9, 780222
bst, 2^6, 32238
bst, 2^7, 36190
bst, 2^8, 40511
bst, 2^9, 45252
avl, 2^6, 31419
avl, 2^7, 35956
avl, 2^8, 41295
avl, 2^9, 45696
splay, 2^6, 158924
splay, 2^7, 174714
splay, 2^8, 212348
splay, 2^9, 167443
veb, 2^6, 864690
veb, 2^7, 911076
veb, 2^8, 949417
veb, 2^9, 840672
bst, 2^6, 27893
bst, 2^7, 32832
bst, 2^8, 36520
bst, 2^9, 40660
avl, 2^6, 26236
avl, 2^7, 29626
avl, 2^8, 73043
avl, 2^9, 38113
splay, 2^6, 133106
splay, 2^7, 148674
splay, 2^8, 160215
splay, 2^9, 171209
veb, 2^6, 809641
veb, 2^7, 880194
veb, 2^8, 783164
veb, 2^9, 930478
bst, 2^6, 27374
bst, 2^7, 31345
bst, 2^8, 36210
bst, 2^9, 44219
avl, 2^6, 26713
avl, 2^7, 30820
avl, 2^8, 34016
avl, 2^9, 49117
splay, 2^6, 153885
splay, 2^7, 172251
splay, 2^8, 189857
splay, 2^9, 139524
veb, 2^6, 718899
veb, 2^7, 749127
veb, 2^8, 924696
veb, 2^9, 821075
bst, 2^6, 26877
bst, 2^7, 31582
bst, 2^8, 35999
bst, 2^9, 42521
avl, 2^6, 31416
avl, 2^7, 37696
avl, 2^8, 41050
avl, 2^9, 51915
splay, 2^6, 128362
splay, 2^7, 146636
splay, 2^8, 158698
splay, 2^9, 160657
veb, 2^6, 854136
veb, 2^7, 748199
veb, 2^8, 899158
veb, 2^9, 865371
bst, 2^6, 33990
bst, 2^7, 37434
bst, 2^8, 42482
bst, 2^9, 48500
avl, 2^6, 26839
avl, 2^7, 30711
avl, 2^8, 41009
avl, 2^9, 38111
splay, 2^6, 125874
splay, 2^7, 145284
splay, 2^8, 160396
splay, 2^9, 139712
veb, 2^6, 718954
veb, 2^7, 846978
veb, 2^8, 938054
veb, 2^9, 811402
bst, 2^6, 28214
bst, 2^7, 31738
bst, 2^8, 36849
bst, 2^9, 48634
avl, 2^6, 31022
avl, 2^7, 35815
avl, 2^8, 33841
avl, 2^9, 38231
splay, 2^6, 128695
splay, 2^7, 145149
splay, 2^8, 162702
splay, 2^9, 139338
veb, 2^6, 719404
veb, 2^7, 903413
veb, 2^8, 784726
veb, 2^9, 770059
bst, 2^6, 28223
bst, 2^7, 38967
bst, 2^8, 43674
bst, 2^9, 49603
avl, 2^6, 30327
avl, 2^7, 35488
avl, 2^8, 35250
avl, 2^9, 37718
splay, 2^6, 126062
splay, 2^7, 146371
splay, 2^8, 159223
splay, 2^9, 138370
veb, 2^6, 718896
veb, 2^7, 841339
veb, 2^8, 872640
veb, 2^9, 817015
bst, 2^6, 31856
bst, 2^7, 37618
bst, 2^8, 43399
bst, 2^9, 48135
avl, 2^6, 30490
avl, 2^7, 30648
avl, 2^8, 33700
avl, 2^9, 44696
splay, 2^6, 147574
splay, 2^7, 152050
splay, 2^8, 159522
splay, 2^9, 141279
veb, 2^6, 804175
veb, 2^7, 757090
veb, 2^8, 943063
veb, 2^9, 912495
bst, 2^6, 35273
bst, 2^7, 32201
bst, 2^8, 36569
bst, 2^9, 40767
avl, 2^6, 32821
avl, 2^7, 29948
avl, 2^8, 33917
avl, 2^9, 38023
splay, 2^6, 127956
splay, 2^7, 146241
splay, 2^8, 159044
splay, 2^9, 139251
veb, 2^6, 852144
veb, 2^7, 769112
veb, 2^8, 780071
veb, 2^9, 882957
bst, 2^6, 27945
bst, 2^7, 32222
bst, 2^8, 36327
bst, 2^9, 40402
avl, 2^6, 28252
avl, 2^7, 31246
avl, 2^8, 34552
avl, 2^9, 38632
splay, 2^6, 128573
splay, 2^7, 145672
splay, 2^8, 188201
splay, 2^9, 166275
veb, 2^6, 760088
veb, 2^7, 891484
veb, 2^8, 835943
veb, 2^9, 770808
bst, 2^6, 27124
bst, 2^7, 31716
bst, 2^8, 35906
bst, 2^9, 40089
avl, 2^6, 26206
avl, 2^7, 31334
avl, 2^8, 34553
avl, 2^9, 41057
splay, 2^6, 151264
splay, 2^7, 172007
splay, 2^8, 187731
splay, 2^9, 138718
veb, 2^6, 780996
veb, 2^7, 776124
veb, 2^8, 780159
veb, 2^9, 844281
bst, 2^6, 26763
bst, 2^7, 31546
bst, 2^8, 35804
bst, 2^9, 40784
avl, 2^6, 26157
avl, 2^7, 30804
avl, 2^8, 34059
avl, 2^9, 45938
splay, 2^6, 147973
splay, 2^7, 174002
splay, 2^8, 160281
splay, 2^9, 141653
veb, 2^6, 836429
veb, 2^7, 748314
veb, 2^8, 837488
veb, 2^9, 770591
bst, 2^6, 26838
bst, 2^7, 31311
bst, 2^8, 36052
bst, 2^9, 39796
avl, 2^6, 26048
avl, 2^7, 30640
avl, 2^8, 34464
avl, 2^9, 38933
splay, 2^6, 128741
splay, 2^7, 173615
splay, 2^8, 189953
splay, 2^9, 164978
veb, 2^6, 743266
veb, 2^7, 748893
veb, 2^8, 924939
veb, 2^9, 777942
bst, 2^6, 27345
bst, 2^7, 32053
bst, 2^8, 36531
bst, 2^9, 40409
avl, 2^6, 26092
avl, 2^7, 30994
avl, 2^8, 34277
avl, 2^9, 45809
splay, 2^6, 152577
splay, 2^7, 174342
splay, 2^8, 187953
splay, 2^9, 164389
veb, 2^6, 719025
veb, 2^7, 751002
veb, 2^8, 860765
veb, 2^9, 770211
bst, 2^6, 27841
bst, 2^7, 32255
bst, 2^8, 36321
bst, 2^9, 52139
avl, 2^6, 30523
avl, 2^7, 36855
avl, 2^8, 41235
avl, 2^9, 38313
splay, 2^6, 126844
splay, 2^7, 146330
splay, 2^8, 159784
splay, 2^9, 139227
veb, 2^6, 726303
veb, 2^7, 786662
veb, 2^8, 779963
veb, 2^9, 898571
bst, 2^6, 27942
bst, 2^7, 32061
bst, 2^8, 36530
bst, 2^9, 41415
avl, 2^6, 26251
avl, 2^7, 30593
avl, 2^8, 40798
avl, 2^9, 38388
splay, 2^6, 127555
splay, 2^7, 146750
splay, 2^8, 159083
splay, 2^9, 139035
veb, 2^6, 719096
veb, 2^7, 842293
veb, 2^8, 841827
veb, 2^9, 769985
bst, 2^6, 27005
bst, 2^7, 31762
bst, 2^8, 35881
bst, 2^9, 40370
avl, 2^6, 31040
avl, 2^7, 36624
avl, 2^8, 40443
avl, 2^9, 38544
splay, 2^6, 126829
splay, 2^7, 145972
splay, 2^8, 159963
splay, 2^9, 138088
veb, 2^6, 722628
veb, 2^7, 890737
veb, 2^8, 779548
veb, 2^9, 773972
bst, 2^6, 27123
bst, 2^7, 32232
bst, 2^8, 36071
bst, 2^9, 52849
avl, 2^6, 31097
avl, 2^7, 37221
avl, 2^8, 34627
avl, 2^9, 38521
splay, 2^6, 129181
splay, 2^7, 144112
splay, 2^8, 157237
