structure, operation, time(ns)
bst, put, 1232041
bst, delete, 5566
avl, put, 1654523
avl, delete, 1580559
splay, put, 13515
splay, delete, 42037
veb, put, 1508659
veb, delete, 2188208
bst, put, 1232732
bst, delete, 5537
avl, put, 1622499
avl, delete, 1563179
splay, put, 13745
splay, delete, 41878
veb, put, 1525479
veb, delete, 2188928
bst, put, 1253319
bst, delete, 5501
avl, put, 1588982
avl, delete, 1550137
splay, put, 13688
splay, delete, 41969
veb, put, 1503028
veb, delete, 2201338
bst, put, 1238093
bst, delete, 5523
avl, put, 1906356
avl, delete, 1764212
splay, put, 14467
splay, delete, 44997
veb, put, 1534255
veb, delete, 2264977
bst, put, 1259091
bst, delete, 5472
avl, put, 1651489
avl, delete, 1662883
splay, put, 13334
splay, delete, 42260
veb, put, 1513899
veb, delete, 2183091
bst, put, 1268943
bst, delete, 5606
avl, put, 1570569
avl, delete, 1547468
splay, put, 13309
splay, delete, 41772
veb, put, 1512020
veb, delete, 2174668
bst, put, 1057218
bst, delete, 4742
avl, put, 1545039
avl, delete, 1482609
splay, put, 13187
splay, delete, 40392
veb, put, 1389043
veb, delete, 2061313
bst, put, 1037328
bst, delete, 4701
avl, put, 1521500
avl, delete, 1490025
splay, put, 11386
splay, delete, 47231
veb, put, 1454730
veb, delete, 2009531
bst, put, 1176261
bst, delete, 5499
avl, put, 1531042
avl, delete, 1310339
splay, put, 11220
splay, delete, 35207
veb, put, 1266811
veb, delete, 1956844
bst, put, 1232337
bst, delete, 5609
avl, put, 1439891
avl, delete, 1300188
splay, put, 11376
splay, delete, 35042
veb, put, 1437907
veb, delete, 2007832
bst, put, 1037014
bst, delete, 4649
avl, put, 1555389
avl, delete, 1316533
splay, put, 23669
splay, delete, 44412
veb, put, 1422211
veb, delete, 1874450
bst, put, 1167421
bst, delete, 4748
avl, put, 1334106
avl, delete, 1438138
splay, put, 11322
splay, delete, 36043
veb, put, 1451847
veb, delete, 1964802
bst, put, 1085599
bst, delete, 4679
avl, put, 1310289
avl, delete, 1457477
splay, put, 12158
splay, delete, 35735
veb, put, 1436752
veb, delete, 1846693
bst, put, 1168028
bst, delete, 5540
avl, put, 1422620
avl, delete, 1351160
splay, put, 11120
splay, delete, 34789
veb, put, 1266875
veb, delete, 2018335
bst, put, 1046766
bst, delete, 4708
avl, put, 1529063
avl, delete, 1493626
splay, put, 11284
splay, delete, 34599
veb, put, 1402505
veb, delete, 1874842
bst, put, 1094485
bst, delete, 5657
