structure, operation, time(ns)
avl, put, 2064005
avl, delete, 1164909
splay, put, 141733
splay, delete, 172991
veb, put, 1656631
veb, delete, 14159
bst, put, 53071
bst, delete, 28891
avl, put, 2008144
avl, delete, 543123
splay, put, 139720
splay, delete, 170423
veb, put, 1672695
veb, delete, 7537
bst, put, 44159
bst, delete, 40871
avl, put, 2082422
avl, delete, 967726
splay, put, 115863
splay, delete, 139502
veb, put, 1728963
veb, delete, 11688
bst, put, 57314
bst, delete, 38678
avl, put, 2040085
avl, delete, 986505
splay, put, 143442
splay, delete, 176155
veb, put, 1616859
veb, delete, 11728
bst, put, 57922
bst, delete, 32967
avl, put, 2047872
avl, delete, 1222062
splay, put, 143132
splay, delete, 169414
veb, put, 1805435
veb, delete, 8999
bst, put, 52911
bst, delete, 33162
avl, put, 2124034
avl, delete, 935751
splay, put, 134511
splay, delete, 140197
veb, put, 1635116
veb, delete, 18581
bst, put, 51803
bst, delete, 42668
avl, put, 2012958
avl, delete, 759261
splay, put, 153274
splay, delete, 171873
veb, put, 1628911
veb, delete, 14123
bst, put, 55278
bst, delete, 35201
avl, put, 2002712
avl, delete, 746517
splay, put, 140617
splay, delete, 170100
veb, put, 1604775
veb, delete, 8952
bst, put, 49771
bst, delete, 29477
avl, put, 2075435
avl, delete, 869648
splay, put, 118152
splay, delete, 142866
veb, put, 1745831
veb, delete, 8961
bst, put, 57779
bst, delete, 46903
avl, put, 2299435
avl, delete, 1273362
splay, put, 141463
splay, delete, 170544
veb, put, 1747549
veb, delete, 9121
bst, put, 58522
bst, delete, 27268
avl, put, 1941902
avl, delete, 1163669
splay, put, 143035
splay, delete, 174939
veb, put, 1744918
veb, delete, 7635
bst, put, 45082
bst, delete, 24295
avl, put, 2083234
avl, delete, 771105
splay, put, 139639
splay, delete, 164978
veb, put, 1749865
veb, delete, 7526
bst, put, 46209
bst, delete, 25867
avl, put, 1926993
avl, delete, 1188939
splay, put, 117705
splay, delete, 139468
veb, put, 1718903
veb, delete, 11757
bst, put, 43761
bst, delete, 31368
avl, put, 2095871
avl, delete, 1013516
splay, put, 142324
splay, delete, 163048
veb, put, 1720890
veb, delete, 7655
bst, put, 48798
bst, delete, 27492
avl, put, 1927985
avl, delete, 1191845
splay, put, 119230
splay, delete, 170200
veb, put, 1684733
veb, delete, 7629
bst, put, 46454
bst, delete, 28739
avl, put, 2126795
avl, delete, 1083264
splay, put, 119883
splay, delete, 143926
veb, put, 1795000
veb, delete, 8981
bst, put, 53485
bst, delete, 35448
avl, put, 2047381
avl, delete, 836577
splay, put, 120162
splay, delete, 143779
veb, put, 1822264
veb, delete, 22561
bst, put, 58374
bst, delete, 30562
avl, put, 2169586
avl, delete, 618595
splay, put, 118730
splay, delete, 140539
veb, put, 1721599
veb, delete, 7622
bst, put, 47262
bst, delete, 23628
avl, put, 1985318
avl, delete, 613244
splay, put, 142890
splay, delete, 141833
veb, put, 1723696
veb, delete, 7571
bst, put, 45765
bst, delete, 21887
avl, put, 2076158
avl, delete, 1225058
splay, put, 115984
splay, delete, 143415
veb, put, 1715263
veb, delete, 11644
bst, put, 46017
bst, delete, 24822
avl, put, 1963866
avl, delete, 554119
splay, put, 140661
splay, delete, 168271
veb, put, 1716870
veb, delete, 11762
bst, put, 45020
bst, delete, 22636
avl, put, 2286283
avl, delete, 795663
splay, put, 143583
splay, delete, 177444
veb, put, 1857949
veb, delete, 26246
